name,latitude,longitude
meoul,54.81780088,-5.039184093
cairn,55.21445806,-3.264098167
knock,54.72846152,-4.534049034
fagra,54.80072335,-3.938212395
shaws,55.17335112,-3.651130199
dupal,54.74048498,-4.922218323
derry,54.81808386,-4.600203037
racks,55.055015,-3.51986289
rusco,54.90173413,-4.200146198
banks,54.91061386,-3.73251915
butts,55.12837917,-3.346710205
shiel,55.09121377,-4.168024063
skate,54.80465038,-4.559959173
ruins,55.15868167,-4.096441269
birny,55.09918245,-2.944078445
howes,54.99051717,-3.270921707
garie,54.88657982,-3.87447238
airie,55.00362574,-4.139699936
airds,54.987304,-3.985440731
alton,55.29669863,-3.805689812
isles,54.94266721,-3.76708746
dally,54.97282305,-5.173852444
flosh,54.99791512,-3.383553028
whins,55.04209955,-3.259656429
hecks,55.10365109,-2.977595329
linns,55.07681947,-3.498694897
doach,54.90130231,-3.884439468
craig,55.13294023,-3.790905476
bogue,55.10735749,-4.121611118
parks,55.31454282,-3.478975296
egypt,55.3240601,-3.472012281
clone,54.90791487,-3.851094246
kells,55.09430812,-4.29037571
largs,54.88018667,-4.071207047
fosse,54.83635587,-4.057613611
grain,55.09186459,-2.983131409
toull,54.91032029,-3.831589222
folds,55.00152127,-4.077472687
kerse,55.19824057,-3.474555016
snade,55.15285899,-3.810549974
mains,54.97976865,-3.526371003
slack,55.09959987,-2.878396511
lotus,55.00164434,-3.726092577
byres,55.1314093,-4.180705547
cally,54.86929132,-4.183623791
ervie,54.96156469,-5.132954121
tulig,54.84530164,-5.128759146
beoch,54.92569923,-4.059083462
galla,54.93586806,-3.829636574
bloch,55.12147157,-3.05409193
flock,54.91017227,-3.876972198
bield,55.37956761,-3.342171907
rings,54.92718946,-4.798113371
torrs,55.17269183,-4.317133427
holms,55.30428431,-3.432744741
scarr,55.07857851,-3.790647984
balig,54.7961453,-3.993937969
camer,55.03054333,-4.556493759
lands,54.97753978,-3.505003452
doons,55.25855283,-3.866307735
arken,55.17130459,-2.989010811
crows,54.86603757,-4.546408653
braes,55.04746214,-3.193695545
croys,54.99002967,-3.911390305
close,55.36337356,-4.076528549
rorie,55.15881968,-3.577508926
annan,55.00976622,-3.274869919
enoch,55.29080987,-3.766314983
garrs,55.09243926,-3.528671265
crogo,55.07072613,-3.952567577
braco,55.06213485,-3.763051702
aiket,54.999909,-3.41376543
appin,55.25336775,-3.972716331
skeog,54.72775661,-4.399981499
clint,54.98191735,-3.987919092
awies,54.98331692,-4.947817326
swyre,55.14815061,-3.756873608
bogra,55.07233555,-3.051280975
galls,55.0511376,-3.212149143
broom,55.10216569,-3.449943066
moyle,54.9037095,-3.800132275
satur,55.06638897,-3.221225739
spoth,55.40528814,-3.902378082
shank,55.14639709,-3.851051331
glaik,54.89160357,-5.129542351
knowe,55.0079574,-4.640865326
whing,55.3547306,-3.965184689
crane,55.13115169,-3.655335903
lowes,55.08905107,-4.036660194
bents,55.17548578,-3.518457413
cooms,55.2010266,-2.921891212
third,55.17005701,-3.463010788
creca,55.02196316,-3.208941221
cavan,55.12073535,-4.195039272
biawn,54.64345852,-4.905567169
birks,54.85906134,-4.339385033
uroch,54.97453493,-4.063332081
chang,54.79579276,-4.650253057
speat,54.6480897,-4.933869839
albie,55.08301015,-3.180735111
haugh,55.17253252,-3.502085209
corse,55.06890777,-4.075133801
hills,54.97624058,-3.15346241
hotts,55.09126289,-3.160693645
carco,55.40452061,-3.915166855
cauls,55.15854018,-2.998065948
plans,55.01327852,-3.422917128
corra,54.93222149,-3.904416561
becks,55.14723094,-3.030767441
rivox,55.33239119,-3.528370857
dunan,54.64283147,-4.920480251
cults,54.76300604,-4.390926361
clary,54.91299692,-4.458861351
waird,55.39658783,-4.06085372
carse,54.88769134,-4.102599621
dalry,55.18383908,-4.135580063
cowar,54.97894608,-3.806977272
wards,54.72772426,-4.423220158
mabie,55.02062767,-3.642976284
flues,55.40963317,-3.807224035
gairy,55.02185983,-4.353396893
rawer,54.89447889,-5.109436512
stoop,55.07337979,-3.586360216
closs,55.22466636,-3.298795223
esbie,55.15553173,-3.454921246
merse,54.84827763,-4.055006504
clash,54.79347465,-4.1046381
marks,54.84626249,-3.975698948
meaul,55.29824805,-4.243834019
barns,55.25129475,-3.429665565
lakin,54.96503529,-4.830046038
stank,54.67812993,-4.409326315
